constant,area,yearc
1,98,1966
1,55,1955
1,110,1955
1,104,1918
1,81,1939
1,78,1936
1,35,1958
1,45,1939
1,55,1972
1,75,1973
1,42,1983
1,75,1955
1,68,1965
1,22,1970
1,59,1952
1,57,1972
1,69,1963
1,66,1963
1,95,1929
1,108,1989
1,60,1950
1,31,1929
1,130,1918
1,56,1957.5
1,44,1973
1,58,1930
1,42,1974
1,78,1918
1,50,1929
1,74,1959
1,104,1957
1,58,1959
1,90,1957.5
1,96,1929
1,63,1939
1,58,1956
1,68,1918
1,65,1957.5
1,80,1929
1,55,1929
1,35,1975
1,88,1929
1,85,1958
1,42,1952
1,96,1918
1,68,1972
1,110,1939
1,71,1918
1,108,1918
1,92,1972
1,57,1994.5
1,57,1958
1,57,1972
1,92,1963
1,75,1957.5
1,61,1957.5
1,89,1973
1,85,1957.5
1,95,1991
1,56,1983
1,44,1968
1,79,1957.5
1,76,1924
1,155,1918
1,97,1960
1,110,1990
1,78,1936
1,73,1993
1,78,1981
1,94,1939
1,72,1918
1,55,1956
1,89,1976
1,58,1980
1,55,1957.5
1,70,1972
1,57,1963
1,110,1965
1,102,1959
1,55,1960
1,71,1918
1,45,1957.5
1,87,1971
1,76,1959
1,152,1918
1,80,1957.5
1,54,1970
1,82,1969
1,80,1918
1,82,1962
1,87,1972
1,73,1962
1,87,1930
1,80,1962
1,82,1939
1,60,1966
1,77,1929
1,81,1929
1,68,1918
1,52,1956
1,65,1957
1,85,1972
1,96,1936
1,69,1991
1,30,1957.5
1,87,1918
1,57,1962
1,60,1972
1,40,1966
1,40,1967
1,38,1986
1,78,1971
1,30,1956
1,79,1929
1,82,1918
1,129,1918
1,80,1958
1,35,1953
1,32,1972
1,62,1971
1,46,1959
1,75,1956
1,45,1929
1,70,1918
1,29,1957
1,52,1961
1,69,1918
1,77,1960
1,60,1960
1,85,1992
1,76,1969
1,68,1960
1,66,1981
1,45,1971
1,108,1971
1,69,1971
1,83,1973
1,75,1918
1,47,1992
1,64,1959
1,52,1992
1,43,1972
1,81,1918
1,33,1983
1,84,1988
1,71,1957.5
1,51,1984
1,36,1968
1,120,1983
1,54,1984
1,99,1957.5
1,95,1980
1,111,1954
1,52,1966
1,102,1954
1,54,1957.5
1,58,1936
1,56,1918
1,65,1929
1,74,1984
1,57,1986
1,80,1959
1,52,1957
1,45,1939
1,58,1994
1,125,1918
1,73,1918
1,96,1957
1,73,1965
1,65,1918
1,76,1983
1,62,1983
1,96,1929
1,75,1957.5
1,60,1957.5
1,67,1918
1,75,1971
1,50,1957.5
1,36,1971
1,60,1918
1,93,1961
1,93,1955
1,120,1929
1,89,1954
1,30,1959
1,36,1918
1,38,1960
1,69,1991
1,73,1972
1,84,1964
1,64,1972
1,56,1956
1,60,1954
1,81,1918
1,50,1972
1,59,1981
1,30,1974
1,36,1960
1,26,1972
1,74,1929
1,76,1970
1,49,1918
1,56,1957.5
1,85,1918
1,75,1957.5
1,56,1918
1,96,1967
1,95,1918
1,78,1929
1,49,1971
1,38,1958
1,34,1984
1,29,1972
1,59,1957.5
1,69,1965
1,107,1972
1,65,1918
1,115,1955
1,45,1918
1,82,1984
1,85,1985
1,90,1939
1,110,1973
1,72,1970
1,72,1972
1,61,1937
1,87,1972
1,82,1957.5
1,54,1957.5
1,97,1939
1,60,1957.5
1,59,1957
1,86,1918
1,55,1918
1,39,1939
1,64,1918
1,51,1957
1,80,1930
1,90,1918
1,60,1956
1,38,1929
1,65,1929
1,35,1967
1,130,1929
1,70,1991
1,55,1918
1,58,1961
1,120,1939
1,51,1967
1,78,1959
1,61,1957.5
1,56,1959
1,95,1972
1,79,1924
1,70,1957.5
1,73,1991
1,79,1957.5
1,54,1984
1,120,1929
1,33,1977
1,70,1991
1,130,1957.5
1,85,1918
1,86,1991
1,67,1918
1,71,1939
1,80,1957.5
1,58,1991
1,32,1929
1,56,1959
1,71,1983
1,50,1959
1,70,1918
1,47,1918
1,90,1918
1,40,1958
1,69,1918
1,77,1972
1,77,1918
1,31,1939
1,86,1918
1,60,1918
1,58,1957.5
1,39,1957
1,104,1918
1,78,1918
1,96,1918
1,82,1918
1,64,1966
1,69,1973
1,48,1965
1,50,1924
1,59,1987
1,67,1984
1,89,1971
1,82,1960
1,55,1969
1,83,1970
1,59,1939
1,101,1979
1,55,1969
1,77,1975
1,50,1959
1,57,1918
1,62,1962
1,89,1981
1,87,1984
1,60,1963
1,35,1970
1,36,1931
1,65,1929
1,77,1918
1,39,1985
1,83,1985
1,108,1918
1,31,1918
1,100,1961
1,80,1957.5
1,68,1956
1,75,1957.5
1,58,1953
1,55,1997
1,42,1939
1,84,1973
1,78,1957.5
1,80,1957.5
1,58,1957.5
1,71,1959
1,50,1969
1,58,1918
1,59,1939
1,55,1918
1,82,1959
1,52,1959
1,60,1957.5
1,62,1918
1,86,1980
1,70,1984
1,54,1966
1,53,1957.5
1,133,1961
1,75,1972
1,65,1954
1,51,1918
1,74,1939
1,86,1939
1,99,1962
1,100,1918
1,33,1972
1,83,1957.5
1,52,1924
1,108,1955
1,41,1982
1,115,1918
1,99,1991
1,65,1918
1,87,1981
1,66,1964
1,30,1959
1,60,1987
1,52,1918
1,47,1957.5
1,56,1984
1,80,1980
1,70,1965
1,56,1984
1,93,1939
1,54,1959
1,65,1957
1,70,1957.5
1,80,1972
1,110,1929
1,84,1957.5
1,47,1938
1,24,1983
1,57,1956
1,34,1924
1,85,1963
1,64,1957.5
1,85,1967
1,79,1956
1,47,1972
1,97,1971
1,61,1970
1,60,1939
1,50,1967
1,93,1953
1,80,1939
1,87,1972
1,105,1929
1,54,1929
1,90,1996
1,45,1929
1,56,1932
1,45,1939
1,66,1954
1,52,1918
1,69,1918
1,62,1984
1,70,1918
1,54,1957.5
1,56,1929
1,100,1929
1,76,1963
1,51,1972
1,34,1952
1,50,1962
1,61,1957.5
1,88,1983
1,57,1924
1,74,1918
1,90,1924
1,110,1962
1,50,1986
1,79,1955
1,85,1930
1,63,1929
1,85,1918
1,87,1924
1,40,1973
1,24,1971
1,67,1957.5
1,72,1968
1,70,1918
1,80,1957.5
1,132,1939
1,92,1918
1,102,1930
1,45,1929
1,86,1929
1,25,1965
1,73,1962
1,66,1959
1,62,1963
1,29,1961
1,69,1939
1,62,1929
1,93,1955
1,74,1938
1,53,1996
1,34,1991
1,60,1956
1,103,1929
1,60,1962
1,56,1918
1,28,1918
1,90,1918
1,30,1957.5
1,91,1918
1,80,1971
1,73,1954
1,95,1971
1,87,1971
1,60,1965
1,60,1918
1,52,1986
1,62,1918
1,75,1918
1,38,1918
1,60,1957.5
1,91,1970
1,52,1968
1,69,1972
1,34,1960
1,74,1924
1,73,1967
1,52,1918
1,65,1918
1,91,1918
1,67,1958
1,81,1918
1,29,1957.5
1,38,1965
1,47,1994.5
1,77,1981
1,56,1918
1,51,1982
1,68,1983
1,83,1960
1,77,1964
1,124,1997
1,70,1918
1,96,1941
1,37,1957.5
1,72,1970
1,125,1991
1,83,1929
1,141,1929
1,66,1972
1,93,1972
1,29,1969
1,64,1929
1,80,1962
1,43,1957.5
1,106,1972
1,86,1968
1,73,1968
1,45,1992
1,84,1939
1,88,1968
1,39,1974
1,40,1957.5
1,40,1968
1,97,1972
1,87,1963
1,65,1965
1,65,1963
1,62,1957.5
1,69,1918
1,36,1969
1,61,1960
1,38,1994.5
1,44,1991
1,62,1985
1,80,1974
1,76,1918
1,74,1957.5
1,94,1918
1,70,1957.5
1,37,1957.5
1,81,1972
1,37,1972
1,65,1956
1,93,1918
1,30,1971
1,68,1957.5
1,63,1918
1,38,1929
1,67,1972
1,62,1957.5
1,78,1957.5
1,104,1957.5
1,59,1986
1,101,1971
1,65,1972
1,102,1924
1,43,1957.5
1,45,1974
1,49,1965
1,56,1982
1,108,1955
1,40,1935
1,68,1957
1,103,1982
1,73,1954
1,75,1957.5
1,68,1957.5
1,68,1995
1,60,1957.5
1,48,1965
1,52,1972
1,98,1973
1,47,1972
1,76,1929
1,49,1972
1,54,1969
1,60,1972
1,68,1991
1,31,1972
1,47,1924
1,81,1969
1,68,1939
1,46,1969
1,78,1957.5
1,87,1963
1,107,1929
1,78,1961
1,85,1965
1,76,1987
1,31,1983
1,90,1957.5
1,55,1970
1,108,1939
1,90,1918
1,58,1918
1,70,1929
1,39,1970
1,63,1992
1,48,1918
1,70,1918
1,61,1918
1,154,1994
1,118,1918
1,74,1918
1,55,1934
1,55,1962
1,81,1969
1,78,1929
1,92,1918
1,83,1972
1,79,1929
1,84,1962
1,100,1918
1,76,1954
1,45,1918
1,105,1918
1,52,1918
1,38,1989
1,60,1981
1,115,1918
1,114,1918
1,45,1983
1,79,1957
1,45,1958
1,75,1978
1,79,1962
1,72,1972
1,28,1957.5
1,83,1937
1,84,1939
1,35,1986
1,48,1960
1,93,1941
1,60,1972
1,64,1965
1,54,1975
1,58,1972
1,63,1939
1,79,1956
1,48,1960
1,65,1967
1,75,1918
1,38,1959
1,34,1918
1,40,1918
1,59,1918
1,65,1960
1,56,1967
1,89,1983
1,109,1929
1,100,1939
1,76,1929
1,32,1967
1,98,1955
1,104,1929
1,110,1918
1,47,1924
1,136,1918
1,66,1964
1,72,1954
1,90,1918
1,43,1965
1,32,1957.5
1,35,1994.5
1,70,1987
1,94,1918
1,60,1929
1,70,1918
1,87,1918
1,79,1972
1,67,1985
1,36,1959
1,72,1953
1,68,1979
1,55,1929
1,58,1957.5
1,75,1935
1,84,1918
1,56,1971
1,73,1971
1,58,1984
1,38,1972
1,72,1957.5
1,69,1957.5
1,92,1957.5
1,78,1957.5
1,73,1957.5
1,87,1971
1,55,1936
1,74,1955
1,92,1972
1,43,1939
1,66,1918
1,106,1918
1,84,1962
1,114,1929
1,79,1972
1,38,1988
1,42,1952
1,59,1918
1,93,1939
1,44,1939
1,104,1918
1,60,1957.5
1,55,1918
1,73,1961
1,70,1931
1,33,1972
1,70,1964
1,66,1965
1,57,1964
1,26,1962
1,35,1972
1,42,1957.5
1,55,1918
1,69,1965
1,88,1957
1,55,1971
1,65,1960
1,78,1955
1,80,1954
1,108,1924
1,30,1972
1,43,1918
1,80,1929
1,68,1918
1,90,1963
1,92,1966
1,98,1962
1,53,1983
1,59,1968
1,40,1958
1,65,1939
1,50,1990
1,43,1983
1,35,1970
1,37,1968
1,78,1968
1,117,1957.5
1,110,1929
1,48,1957.5
1,150,1918
1,88,1929
1,54,1956
1,53,1963
1,54,1967
1,73,1939
1,83,1935
1,38,1971
1,69,1955
1,43,1956
1,52,1929
1,70,1984
1,93,1918
1,54,1957.5
1,88,1934
1,83,1986
1,72,1972
1,30,1973
1,72,1972
1,73,1972
1,110,1983
1,33,1962
1,58,1962
1,80,1972
1,71,1972
1,76,1918
1,40,1962
1,30,1958
1,32,1972
1,49,1994
1,84,1970
1,55,1962
1,23,1973
1,52,1968
1,105,1918
1,147,1918
1,115,1929
1,84,1986
1,56,1973
1,54,1962
1,78,1939
1,47,1959
1,70,1957.5
1,55,1962
1,53,1968
1,97,1994.5
1,80,1963
1,60,1983
1,65,1963
1,61,1954
1,75,1993
1,49,1983
1,65,1993
1,80,1973
1,52,1994
1,52,1957.5
1,43,1955
1,43,1971
1,75,1957.5
1,160,1918
1,38,1962
1,37,1959
1,56,1918
1,64,1952
1,57,1986
1,80,1918
1,60,1954
1,30,1918
1,56,1973
1,60,1983
1,70,1968
1,74,1968
1,43,1983
1,95,1964
1,54,1966
1,79,1972
1,108,1957.5
1,70,1929
1,32,1974
1,90,1961
1,50,1918
1,100,1968
1,100,1918
1,98,1955
1,94,1918
1,68,1973
1,60,1994.5
1,84,1973
1,70,1971
1,75,1968
1,29,1967
1,115,1918
1,44,1924
1,56,1979
1,75,1957.5
1,82,1977
1,128,1918
1,80,1960
1,41,1955
1,60,1939
1,54,1929
1,31,1959
1,60,1918
1,112,1918
1,69,1972
1,48,1953
1,136,1918
1,30,1959
1,80,1918
1,65,1929
1,75,1957.5
1,62,1989
1,51,1929
1,59,1918
1,68,1957.5
1,47,1932
1,70,1961
1,33,1963
1,69,1967
1,58,1939
1,56,1970
1,49,1918
1,117,1957.5
1,93,1989
1,58,1939
1,65,1982
1,67,1918
1,36,1970
1,51,1971
1,72,1959
1,67,1962
1,38,1956
1,56,1930
1,55,1918
1,30,1918
1,76,1918
1,110,1929
1,70,1918
1,97,1973
1,80,1929
1,60,1968
1,72,1965
1,126,1996
1,65,1936
1,75,1974
1,61,1967
1,48,1972
1,50,1989
1,28,1974
1,55,1939
1,110,1918
1,69,1997
1,83,1957.5
1,87,1971
1,120,1957.5
1,50,1963
1,46,1957.5
1,54,1957
1,40,1971
1,86,1972
1,40,1964
1,55,1939
1,50,1957.5
1,72,1959
1,20,1967
1,32,1961
1,84,1972
1,114,1931
1,90,1971
1,71,1994
1,109,1918
1,60,1929
1,62,1918
1,49,1957.5
1,64,1957
1,72,1965
1,74,1971
1,62,1994.5
1,44,1970
1,35,1966
1,73,1918
1,63,1939
1,68,1972
1,75,1918
1,60,1957.5
1,25,1957.5
1,115,1968
1,54,1950
1,66,1957.5
1,52,1960
1,50,1929
1,64,1957.5
1,78,1984
1,30,1957.5
1,36,1972
1,67,1993
1,62,1984
1,50,1982
1,63,1938
1,79,1968
1,60,1983
1,79,1918
1,130,1957.5
1,43,1918
1,87,1957.5
1,60,1918
1,87,1918
1,84,1968
1,63,1994.5
1,140,1918
1,75,1957.5
1,73,1953
1,70,1957.5
1,64,1960
1,44,1973
1,56,1918
1,150,1954
1,133,1918
1,60,1918
1,65,1960
1,33,1994
1,84,1957
1,78,1929
1,98,1924
1,49,1972
1,110,1979
1,52,1983
1,63,1991
1,75,1957.5
1,70,1957.5
1,60,1957.5
1,70,1929
1,70,1918
1,80,1957.5
1,58,1959
1,84,1957.5
1,88,1957.5
1,90,1918
1,84,1965
1,59,1984
1,53,1937
1,64,1960
1,58,1963
1,40,1957.5
1,79,1972
1,60,1937
1,36,1938
1,55,1971
1,58,1993
1,43,1983
1,92,1989
1,57,1972
1,75,1967
1,50,1969
1,70,1965
1,73,1994.5
1,61,1961
1,105,1918
1,65,1954
1,76,1955
1,87,1918
1,105,1957.5
1,86,1995
1,52,1918
1,44,1995
1,33,1959
1,20,1956
1,50,1962
1,75,1968
1,55,1957.5
1,96,1969
1,61,1929
1,84,1918
1,47,1984
1,61,1991
1,110,1992
1,106,1970
1,30,1971
1,57,1924
1,49,1950
1,34,1972
1,80,1966
1,60,1991
1,78,1995
1,79,1972
1,64,1977
1,78,1973
1,32,1964
1,70,1968
1,58,1972
1,32,1965
1,53,1931
1,67,1939
1,104,1984
1,55,1918
1,63,1956
1,35,1973
1,26,1973
1,70,1963
1,58,1994.5
1,62,1960
1,59,1972
1,53,1983
1,68,1961
1,71,1967
1,23,1970
1,69,1975
1,47,1924
1,58,1985
1,139,1929
1,57,1957.5
1,69,1918
1,62,1974
1,34,1993
1,35,1979
1,27,1956
1,76,1965
1,58,1964
1,59,1984
1,77,1918
1,60,1918
1,48,1918
1,56,1929
1,88,1918
1,50,1961
1,98,1972
1,68,1957.5
1,52,1971
1,70,1962
1,71,1962
1,57,1939
1,83,1929
1,40,1952
1,73,1959
1,113,1918
1,160,1918
1,57,1957.5
1,71,1956
1,35,1939
1,76,1989
1,40,1970
1,51,1973
1,94,1973
1,56,1961
1,123,1929
1,120,1918
1,83,1954
1,52,1961
1,64,1959
1,56,1990
1,66,1918
1,30,1971
1,49,1964
1,97,1971
1,40,1918
1,71,1962
1,58,1968
1,68,1959
1,45,1918
1,65,1966
1,44,1972
1,40,1972
1,96,1991
1,53,1974
1,59,1942
1,78,1929
1,35,1957.5
1,67,1984
1,66,1979
1,71,1983
1,82,1941
1,34,1974
1,89,1984
1,88,1957.5
1,47,1964
1,72,1918
1,70,1994.5
1,71,1967
1,72,1970
1,64,1963
1,63,1924
1,47,1986
1,42,1973
1,68,1972
1,35,1957.5
1,77,1918
1,59,1964
1,99,1918
1,64,1971
1,59,1957.5
1,26,1953
1,79,1957.5
1,39,1957.5
1,62,1957.5
1,59,1956
1,62,1983
1,59,1955
1,68,1960
1,79,1971
1,74,1971
1,82,1963
1,83,1918
1,103,1918
1,69,1970
1,80,1982
1,38,1983
1,28,1960
1,70,1918
1,100,1918
1,79,1957.5
1,72,1974
1,64,1964
1,72,1957.5
1,37,1971
1,28,1969
1,131,1918
1,40,1918
1,70,1995
1,39,1957.5
1,35,1971
1,36,1957.5
1,79,1994.5
1,70,1957.5
1,104,1961
1,68,1957.5
1,39,1962
1,46,1970
1,69,1965
1,84,1973
1,50,1960
1,32,1972
1,27,1957.5
1,110,1929
1,43,1975
1,64,1918
1,71,1968
1,39,1918
1,48,1983
1,75,1957.5
1,32,1965
1,69,1955
1,120,1918
1,63,1957.5
1,90,1918
1,62,1957.5
1,52,1939
1,33,1972
1,87,1957.5
1,24,1960
1,52,1960
1,28,1991
1,82,1984
1,33,1957.5
1,65,1964
1,70,1957.5
1,60,1958
1,60,1957.5
1,65,1983
1,75,1918
1,33,1967
1,48,1977
1,107,1994.5
1,34,1957.5
1,73,1962
1,34,1968
1,70,1957.5
1,30,1918
1,66,1951
1,42,1991
1,90,1918
1,102,1970
1,85,1929
1,70,1963
1,66,1963
1,65,1929
1,83,1972
1,80,1918
1,33,1972
1,60,1968
1,40,1995
1,84,1983
1,83,1994.5
1,105,1961
1,65,1957.5
1,68,1959
1,43,1994.5
1,39,1957.5
1,35,1994.5
1,106,1924
1,110,1918
1,54,1990
1,51,1972
1,64,1981
1,42,1957
1,120,1918
1,42,1938
1,37,1967
1,49,1957.5
1,66,1968
1,104,1983
1,69,1959
1,28,1965
1,55,1968
1,64,1957.5
1,46,1918
1,60,1957.5
1,65,1963
1,35,1972
1,65,1957.5
1,44,1972
1,94,1981
1,27,1983
1,52,1958
1,73,1918
1,38,1988
1,148,1918
1,100,1970
1,44,1955
1,49,1957.5
1,60,1957.5
1,62,1972
1,90,1961
1,124,1979
1,65,1967
1,123,1929
1,68,1963
1,70,1956
1,80,1968
1,84,1967
1,84,1929
1,39,1960
1,37,1954
1,76,1957.5
1,75,1955
1,57,1981
1,58,1956
1,49,1991
1,62,1957.5
1,37,1957.5
1,35,1956
1,54,1991
1,50,1984
1,30,1939
1,71,1929
1,48,1939
1,60,1991
1,99,1918
1,76,1929
1,88,1991
1,118,1918
1,37,1953
1,35,1972
1,54,1960
1,67,1972
1,42,1963
1,54,1983
1,30,1929
1,115,1991
1,54,1918
1,57,1963
1,107,1957.5
1,40,1991
1,34,1929
1,39,1958
1,68,1961
1,59,1954
1,65,1939
1,35,1957.5
1,36,1972
1,76,1929
1,50,1939
1,98,1996
1,105,1980
1,95,1957.5
1,90,1918
1,72,1963
1,29,1969
1,75,1975
1,54,1969
1,35,1970
1,57,1959
1,59,1918
1,88,1918
1,79,1957.5
1,92,1918
1,54,1972
1,85,1972
1,50,1970
1,86,1994
1,46,1991
1,68,1972
1,45,1996
1,39,1986
1,29,1971
1,56,1996
1,35,1968
1,67,1965
1,51,1961
1,50,1918
1,78,1957.5
1,36,1939
1,50,1918
1,67,1939
1,80,1958
1,73,1957.5
1,53,1988
1,51,1962
1,42,1958
1,73,1929
1,38,1967
1,70,1959
1,30,1983
1,56,1918
1,34,1962
1,76,1918
1,74,1985
1,78,1954
1,97,1957.5
1,53,1960
1,56,1918
1,73,1918
1,87,1918
1,50,1958
1,109,1929
1,70,1918
1,70,1957.5
1,37,1957.5
1,31,1957.5
1,86,1991
1,72,1954
1,63,1961
1,68,1965
1,74,1983
1,23,1961
1,59,1929
1,33,1963
1,63,1938
1,78,1971
1,58,1970
1,78,1918
1,98,1959
1,32,1952
1,72,1982
1,70,1972
1,47,1981
1,73,1968
1,30,1972
1,79,1957.5
1,54,1972
1,100,1989
1,67,1929
1,74,1957.5
1,73,1977
1,27,1972
1,56,1964
1,48,1957
1,65,1918
1,132,1929
1,48,1950
1,49,1972
1,103,1968
1,97,1918
1,32,1971
1,64,1984
1,64,1972
1,26,1962
1,64,1971
1,89,1983
1,70,1959
1,28,1958
1,38,1956
1,52,1986
1,29,1996
1,66,1983
1,95,1955
1,66,1972
1,70,1918
1,100,1939
1,78,1918
1,88,1972
1,35,1984
1,33,1962
1,95,1918
1,70,1957.5
1,94,1979
1,47,1990
1,81,1973
1,78,1968
1,58,1980
1,70,1968
1,52,1968
1,58,1963
1,43,1981
1,41,1970
1,58,1972
1,75,1960
1,54,1983
1,42,1956
1,60,1939
1,145,1918
1,86,1954
1,100,1918
1,54,1993
1,76,1991
1,30,1983
1,39,1918
1,72,1957.5
1,74,1957.5
1,86,1966
1,61,1983
1,60,1972
1,69,1972
1,100,1957.5
1,62,1918
1,64,1957.5
1,77,1918
1,76,1968
1,80,1969
1,27,1960
1,110,1918
1,73,1964
1,67,1957.5
1,44,1936
1,100,1918
1,68,1954
1,62,1972
1,81,1970
1,54,1960
1,30,1970
1,91,1985
1,79,1918
1,56,1970
1,37,1972
1,70,1989
1,40,1983
1,65,1918
1,60,1939
1,68,1957.5
1,77,1957.5
1,81,1957.5
1,96,1918
1,120,1924
1,42,1973
